pool_identifier,pool_id,pool_name,active_stake,active_pledge,fixed_cost,margin,saturation,lifetime_luck,recent_luck,lifetime_roa,recent_roa
pool1l2z734tugnn4tue9sw6e39nr6pcgv7wqynpra4maz4j92wzws8c,pool1l2z734tugnn4tue9sw6e39nr6pcgv7wqynpra4maz4j92wzws8c,,0,33740861,340000000,0.009,0,7.617874142756468,0,17.57478062424795,0
pool1gwyuzpvu9vhe2ge4qmg2qca8y0pzmzmwpu872vwzwse6shlespw,pool1gwyuzpvu9vhe2ge4qmg2qca8y0pzmzmwpu872vwzwse6shlespw,,0,0,340000000,0.01,0,0,0,0,0
pool16l2ku9crvvrcq9mvl9z2w7mc9x6t49ug3756xfrgqyvc2e5y6hl,pool16l2ku9crvvrcq9mvl9z2w7mc9x6t49ug3756xfrgqyvc2e5y6hl,,0,1825391,340000000,0.02,0,0,0,0,0
pool196e8g7evuyf84jz4gr6f4xacudmupxs3ad323krx9e4xse6cf8y,pool196e8g7evuyf84jz4gr6f4xacudmupxs3ad323krx9e4xse6cf8y,,0,126660459,345000000,0.02,0,0,0,0,0
pool1uklezq2zz38zldrjrgujqmvrnswfzmupakgfp5wzgln9zx8tcju,pool1uklezq2zz38zldrjrgujqmvrnswfzmupakgfp5wzgln9zx8tcju,,0,0,340000000,0.01,0,0,0,0,0
pool16wk6a0rmwplcv9wm6x8cyv6e77ey7zgluzne5jzqdqmfq52s69q,pool16wk6a0rmwplcv9wm6x8cyv6e77ey7zgluzne5jzqdqmfq52s69q,,0,24992714,340000000,0,0,0,0,0,0
pool1jnesrcc408t0zd3zadkx2fs65ugppkvftcleld0tc0j2v7zsvej,pool1jnesrcc408t0zd3zadkx2fs65ugppkvftcleld0tc0j2v7zsvej,,0,2450653,340000000,1,0,0,0,0,0
pool1e5dxsm5ckaq0k9fg9hkclcrdj740757w4tqf9sk35wt22swypdu,pool1e5dxsm5ckaq0k9fg9hkclcrdj740757w4tqf9sk35wt22swypdu,,0,0,340000000,0.05,0,0,0,0,0
Zion,pool1h5tldkcwftpnnwj4ygtfd8ts6mxkcv0qyes9tum9hxx27zrjzpf,Zion,0,0,340000000,0.02,0,0,0,0,0
Winner,pool12v7aukl49ehf9ysagq960ek26jeywnq3yzv5hgl4ecvhvyax5p6,Winner,0,0,340000000,0,0,0.3254222768614533,0,0,0
Input Output Global (IOHK) - Private,pool1kcw2kqj27qe7ntsz9fhvyvyvpf7prclwc5jq4cw0qydh7cygcek,Input Output Global (IOHK) - Private,0,0,500000000,1,0,0.9735857142857145,0,0,0
pool1lenhysfdw3w6a37mukd4xfvsfssgvzlrnhk6v882j2kns6uyxd6,pool1lenhysfdw3w6a37mukd4xfvsfssgvzlrnhk6v882j2kns6uyxd6,,0,0,340000000,0.01,0,0,0,0,0
pool1thgpezwt4pvqhklhysnxrrclp0mfy2tg4qesxg8s5f7jg7802y0,pool1thgpezwt4pvqhklhysnxrrclp0mfy2tg4qesxg8s5f7jg7802y0,,0,0,345000000,0.06,0,1.0342332859436003,0,5.219992679081101,0
pool1k0w7n5rfxdzgfxpy8x6t7zfy6pfwrp54se7ezhxxed2x7mfmszy,pool1k0w7n5rfxdzgfxpy8x6t7zfy6pfwrp54se7ezhxxed2x7mfmszy,,0,0,340000000,0,0,0,0,0,0
pool1uyqvgumuy8azzs4mal9hp89lkpqjgvy32s9ahq4aqwprs9357ud,pool1uyqvgumuy8azzs4mal9hp89lkpqjgvy32s9ahq4aqwprs9357ud,,0,0,340000000,0.01,0,0,0,0,0
